gene,gene_id,num_codewords,num_probesets,full_name,location,cell_type,cellchat_pathway,immune_specificity,immune_pathway,exclude_recommended,detection_pct_0041323,detection_pct_0041326
LEF1,ENSG00000138795,2,2,Lymphoid enhancer-binding factor 1 (LEF-1) (T cell-specific transcription factor 1-alpha) (TCF1-alpha),Nucleus,"T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;naive thymus-derived CD4-positive, alpha-beta T cell;naive thymus-derived CD8-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;naive T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte;late pro-B cell;neuron",,0.9375,FALSE,no,0.195,0.161
LEPROTL1,ENSG00000104660,2,2,Leptin receptor overlapping transcript-like 1 (Endospanin-2),Membrane,"lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 1 cell;T-helper 22 cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;naive thymus-derived CD4-positive, alpha-beta T cell;activated CD4-positive, alpha-beta T cell, human;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;naive thymus-derived CD8-positive, alpha-beta T cell;mature T cell;memory T cell;regulatory T cell;naive T cell;DN3 thymocyte;DN1 thymic pro-T cell",,0.88,FALSE,no,2.609,2.501
LGALS9,ENSG00000168961,3,3,Galectin-9 (Gal-9) (Ecalectin) (Tumor antigen HOM-HD-21),Cytoplasm,"dendritic cell;CD141-positive myeloid dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;CD14-low, CD16-positive monocyte;CD14-positive, CD16-positive monocyte;erythroid progenitor cell, mammalian;pre-conventional dendritic cell",GALECTIN,0.888888888888889,TRUE,no,3.025,3.749
LGMN,ENSG00000100600,3,2,Legumain,Lysosome,pancreatic PP cell;PP cell;macrophage;elicited macrophage;alternatively activated macrophage;Kupffer cell;colon macrophage;Hofbauer cell;intermediate monocyte;immature innate lymphoid cell,,0.7,FALSE,no,5.953,7.062
LILRA1,ENSG00000104974,3,3,Leukocyte immunoglobulin-like receptor subfamily A member 1 (CD85 antigen-like family member I) (Leukocyte immunoglobulin-like receptor 6) (LIR-6) (CD antigen CD85i),Membrane,non-classical monocyte;mature NK T cell,,1,FALSE,no,0.102,0.135
LILRA2,ENSG00000239998,3,3,Leukocyte immunoglobulin-like receptor subfamily A member 2 (CD85 antigen-like family member H) (Immunoglobulin-like transcript 1) (ILT-1) (Leukocyte immunoglobulin-like receptor 7) (LIR-7) (CD antigen CD85h),Cell membrane,"classical monocyte;hematopoietic cell;granulocyte;leukocyte;myeloid leukocyte;monocyte;non-classical monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;mature NK T cell;myeloid cell;promonocyte;myelocyte",,0.923076923076923,FALSE,no,0.242,0.256
LILRB1,ENSG00000104972,3,3,Leukocyte immunoglobulin-like receptor subfamily B member 1 (LIR-1) (Leukocyte immunoglobulin-like receptor 1) (CD85 antigen-like family member J) (Immunoglobulin-like transcript 2) (ILT-2) (Monocyte/macrophage immunoglobulin-like receptor 7) (MIR-7) (CD antigen CD85j),Cell membrane,"myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;mature NK T cell;myeloid cell",MHC-I,1,TRUE,no,0.775,1.517
LILRB3,ENSG00000204577,3,3,Leukocyte immunoglobulin-like receptor subfamily B member 3 (LIR-3) (Leukocyte immunoglobulin-like receptor 3) (CD85 antigen-like family member A) (Immunoglobulin-like transcript 5) (ILT-5) (Monocyte inhibitory receptor HL9) (CD antigen CD85a),Cell membrane,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;blood cell;granulocyte;neutrophil;immature neutrophil;myeloid leukocyte;monocyte;CD14-positive monocyte;intermediate monocyte;myeloid cell",,0.916666666666667,FALSE,no,0.233,0.607
LILRB5,ENSG00000105609,3,3,Leukocyte immunoglobulin-like receptor subfamily B member 5 (CD85 antigen-like family member C) (Leukocyte immunoglobulin-like receptor 8) (LIR-8) (CD antigen CD85c),Membrane,alternatively activated macrophage;colon macrophage,,1,FALSE,no,0.84,0.509
LIPA,ENSG00000107798,3,3,Lysosomal acid lipase/cholesteryl ester hydrolase (Acid cholesteryl ester hydrolase) (LAL),Lysosome,macrophage;alveolar macrophage;colon macrophage;lung macrophage,,1,FALSE,no,9.32,6.637
LMNB1,ENSG00000113368,3,3,Lamin-B1,Nucleus lamina,DN4 thymocyte;precursor B cell;large pre-B-II cell;common dendritic progenitor;hematopoietic precursor cell;pro-B cell;fraction A pre-pro B cell,,1,FALSE,no,1.766,1.734
LPAR1,ENSG00000198121,2,2,Lysophosphatidic acid receptor 1 (LPA receptor 1) (LPA-1) (Lysophosphatidic acid receptor Edg-2),Cell surface,glial cell;macroglial cell;oligodendrocyte;Schwann cell;connective tissue cell;fibroblast;preadipocyte;brown preadipocyte;fibroblast of cardiac tissue;kidney interstitial fibroblast;mesothelial fibroblast;fibro/adipogenic progenitor cell;kidney interstitial cell,ADGRE,0,TRUE,no,0.748,0.738
LPAR3,ENSG00000171517,3,3,Lysophosphatidic acid receptor 3 (LPA receptor 3) (LPA-3) (Lysophosphatidic acid receptor Edg-7),Cell membrane,,ADGRE,,TRUE,no,3.487,2.483
LPAR5,ENSG00000184574,3,3,Lysophosphatidic acid receptor 5 (LPA receptor 5) (LPA-5) (G-protein coupled receptor 92) (G-protein coupled receptor 93),Cell membrane,microglial cell,,1,FALSE,no,0.615,0.95
LTA,ENSG00000226979,3,3,Lymphotoxin-alpha (LT-alpha) (TNF-beta) (Tumor necrosis factor ligand superfamily member 1),Secreted;Membrane,"CD4-positive, alpha-beta T cell;CD4-positive helper T cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;mature NK T cell;type I NK T cell;regulatory T cell;group 3 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",LT,1,FALSE,no,0.05,0.028
LTK,ENSG00000062524,3,3,Leukocyte tyrosine kinase receptor,Cell membrane,mucosal invariant T cell,,1,FALSE,no,0.062,0.056
LY9,ENSG00000122224,3,3,T-lymphocyte surface antigen Ly-9 (Cell surface molecule Ly-9) (Lymphocyte antigen 9) (SLAM family member 3) (SLAMF3) (Signaling lymphocytic activation molecule 3) (CD antigen CD229),Membrane,mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;B-1b B cell;follicular B cell;B cell,,1,FALSE,no,0.078,0.118
LY96,ENSG00000154589,3,3,Lymphocyte antigen 96 (Ly-96) (ESOP-1) (Protein MD-2),Secreted,macrophage;alveolar macrophage;colon macrophage;lung macrophage;Hofbauer cell;IgA plasma cell,,0.833333333333333,FALSE,no,0.936,1.043
LYAR,ENSG00000145220,3,3,Cell growth-regulating nucleolar protein,Nucleus,"activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell, human;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD8-positive, alpha-beta T cell;effector memory CD8-positive, alpha-beta T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;erythroid progenitor cell;proerythroblast;DN1 thymic pro-T cell",,0.866666666666667,FALSE,no,1.947,1.497
LYN,ENSG00000254087,2,2,Tyrosine-protein kinase Lyn,Cell membrane;Nucleus;Cytoplasm;Cytoplasm,"hematopoietic cell;granulocyte;neutrophil;leukocyte;myeloid leukocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;peripheral blood mononuclear cell;myeloid cell",,0.888888888888889,FALSE,no,5.296,4.418
MAD1L1,ENSG00000002822,3,3,Mitotic spindle assembly checkpoint protein MAD1 (Mitotic arrest deficient 1-like protein 1) (MAD1-like protein 1) (Mitotic checkpoint MAD1 protein homolog) (HsMAD1) (hMAD1) (Tax-binding protein 181),Nucleus,small pre-B-II cell;pre-B-I cell,,1,FALSE,no,3.344,4.067
MAD2L1,ENSG00000164109,3,3,Mitotic spindle assembly checkpoint protein MAD2A (HsMAD2) (Mitotic arrest deficient 2-like protein 1) (MAD2-like protein 1),Nucleus,pro-B cell;fraction A pre-pro B cell,,1,FALSE,no,0.986,0.776
MAFB,ENSG00000204103,2,2,Transcription factor MafB (Maf-B) (V-maf musculoaponeurotic fibrosarcoma oncogene homolog B),Nucleus,"intestinal crypt stem cell of large intestine;elicited macrophage;alternatively activated macrophage;colon macrophage;CD14-low, CD16-positive monocyte",,0.8,FALSE,no,6.639,4.685
MALT1,ENSG00000172175,3,3,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,Cytoplasm,inflammatory macrophage,,1,FALSE,no,3.482,3.533
MAN2B1,ENSG00000104774,3,3,Lysosomal alpha-mannosidase (Laman),Lysosome,"dendritic cell;plasmacytoid dendritic cell;CD141-positive myeloid dendritic cell;conventional dendritic cell;Langerhans cell;myeloid dendritic cell;myeloid dendritic cell, human;CD1c-positive myeloid dendritic cell;dendritic cell, human",,1,FALSE,no,15.713,16.668
MAP1A,ENSG00000166963,3,3,Microtubule-associated protein 1A (MAP-1A) (Proliferation-related protein p80),Cytoplasm,"plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;immature T cell;thymocyte;double negative thymocyte;Cajal-Retzius cell;retinal ganglion cell",,0.714285714285714,FALSE,no,0.726,0.56
MAPK1,ENSG00000100030,3,3,Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1),Cytoplasm,"CD8-positive, alpha-beta cytokine secreting effector T cell",,1,FALSE,no,12.287,10.624
MAPKAPK2,ENSG00000162889,3,3,MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2),Cytoplasm,"type EC enteroendocrine cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;common dendritic progenitor",,0.8,FALSE,no,23.183,23.17
MCM2,ENSG00000073111,3,3,DNA replication licensing factor MCM2,Nucleus,macrophage dendritic cell progenitor,,1,FALSE,no,1.351,1.499
MCM3,ENSG00000112118,3,3,DNA replication licensing factor MCM3,Nucleus,macrophage dendritic cell progenitor,,1,FALSE,no,5.299,5.626
MCM4,ENSG00000104738,3,3,DNA replication licensing factor MCM4,Nucleus,alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell,,1,FALSE,no,3.96,3.843
MCM5,ENSG00000100297,3,3,DNA replication licensing factor MCM5,Nucleus,T cell;alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;macrophage dendritic cell progenitor;pre-conventional dendritic cell,,1,FALSE,no,3.895,6.02
MCM7,ENSG00000166508,3,3,DNA replication licensing factor MCM7,Nucleus,alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;large pre-B-II cell;primitive red blood cell;fraction A pre-pro B cell,,0.857142857142857,FALSE,no,6.862,7.165
MDM4,ENSG00000198625,2,2,Protein Mdm4 (Double minute 4 protein) (Mdm2-like p53-binding protein) (Protein Mdmx) (p53-binding protein Mdm4),Nucleus,IgG-negative class switched memory B cell;precursor B cell;pro-B cell,,1,FALSE,no,5.287,6.241
MEF2C,ENSG00000081189,2,2,Myocyte-specific enhancer factor 2C (Myocyte enhancer factor 2C),Nucleus,macrophage;tissue-resident macrophage;central nervous system macrophage;microglial cell;mature microglial cell;liver dendritic cell;B cell;early lymphoid progenitor;pro-B cell;glutamatergic neuron;osteoblast,,0.818181818181818,FALSE,no,0.992,1.208
MERTK,ENSG00000153208,2,2,Tyrosine-protein kinase Mer,Cell membrane,Kupffer cell;immature innate lymphoid cell,PMCH;GAS;PROS;TULP,1,FALSE,no,2.169,2.689
MICA,ENSG00000204520,3,3,MHC class I polypeptide-related sequence A (MIC-A),Cell membrane,,MHC-I,,TRUE,no,1.492,1.625
MICB,ENSG00000204516,3,3,MHC class I polypeptide-related sequence B (MIC-B),Cell membrane,,MHC-I,,TRUE,no,0.433,0.421
MPLKIP,ENSG00000168303,2,2,M-phase-specific PLK1-interacting protein (TTD non-photosensitive 1 protein),Nucleus;Cytoplasm;Cytoplasm,macrophage dendritic cell progenitor,,1,FALSE,no,0.812,0.477
MPO,ENSG00000005381,3,3,Myeloperoxidase (MPO),Lysosome,bone marrow cell;granulocyte monocyte progenitor cell;granulocyte;neutrophil;immature neutrophil;promonocyte;promyelocyte;common dendritic progenitor;macrophage dendritic cell progenitor;basophil mast progenitor cell;myelocyte;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-T cell;early T lineage precursor;myeloid lineage restricted progenitor cell;granulocytopoietic cell;common myeloid progenitor;common lymphoid progenitor,,0.714285714285714,FALSE,no,0.063,0.073
MSR1,ENSG00000038945,3,3,Macrophage scavenger receptor types I and II (Macrophage acetylated LDL receptor I and II) (Scavenger receptor class A member 1) (CD antigen CD204),Membrane,phagocyte;macrophage;elicited macrophage;inflammatory macrophage;alternatively activated macrophage;tissue-resident macrophage;Kupffer cell;alveolar macrophage;mature microglial cell;lung macrophage;professional antigen presenting cell;immature innate lymphoid cell,,1,FALSE,no,4.006,4.786
MTCH2,ENSG00000109919,3,3,Mitochondrial carrier homolog 2 (Met-induced mitochondrial protein),Mitochondrion outer membrane,hematopoietic cell;leukocyte;myeloid leukocyte,,1,FALSE,no,14.991,11.965
MTHFR,ENSG00000177000,2,2,Methylenetetrahydrofolate reductase (NADPH),,Langerhans cell,,1,FALSE,no,2.407,2.412
MYBL2,ENSG00000101057,3,3,Myb-related protein B (B-Myb) (Myb-like protein 2),Nucleus,"plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;germinal center B cell",,1,FALSE,no,3.288,2.79
MYO1F,ENSG00000142347,2,2,Unconventional myosin-If (Myosin-Ie),,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;granulocyte;neutrophil;myeloid leukocyte;monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;peripheral blood mononuclear cell;myeloid cell;promonocyte",,0.923076923076923,FALSE,no,0.963,1.887
N4BP2,ENSG00000078177,2,2,NEDD4-binding protein 2 (N4BP2),Cytoplasm,common dendritic progenitor;common lymphoid progenitor,,1,FALSE,no,4.367,3.967
NAAA,ENSG00000138744,3,3,N-acylethanolamine-hydrolyzing acid amidase,Lysosome,"CD141-positive myeloid dendritic cell;myeloid dendritic cell, human;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive, CD16-positive monocyte",,1,FALSE,no,2.612,2.901
NAIP,ENSG00000249437,3,3,Baculoviral IAP repeat-containing protein 1 (Neuronal apoptosis inhibitory protein),,Kupffer cell;mature microglial cell,,1,FALSE,no,6.092,11.523
NCF1,ENSG00000158517,3,3,Neutrophil cytosol factor 1 (NCF-1) (47 kDa autosomal chronic granulomatous disease protein) (47 kDa neutrophil oxidase factor) (NCF-47K) (Neutrophil NADPH oxidase factor 1) (Nox organizer 2) (Nox-organizing protein 2) (SH3 and PX domain-containing protein 1A) (p47-phox),Cytoplasm,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;blood cell;granulocyte;immature neutrophil;leukocyte;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;mature B cell;naive B cell;B-1a B cell;B-1b B cell;germinal center B cell;plasmablast;myeloid leukocyte;monocyte;CD14-positive monocyte;B cell;immature B cell;small pre-B-II cell;pre-B-I cell;myelocyte",,0.916666666666667,FALSE,no,0.709,1.514
NCF2,ENSG00000116701,2,2,Neutrophil cytosol factor 2 (NCF-2) (67 kDa neutrophil oxidase factor) (NADPH oxidase activator 2) (Neutrophil NADPH oxidase factor 2) (p67-phox),Cytoplasm,"phagocyte;macrophage;alveolar macrophage;lung macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;blood cell;granulocyte;neutrophil;leukocyte;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;peripheral blood mononuclear cell;myeloid cell",,0.916666666666667,FALSE,no,1.758,2.19
NCF4,ENSG00000100365,3,3,Neutrophil cytosol factor 4 (NCF-4) (Neutrophil NADPH oxidase factor 4) (SH3 and PX domain-containing protein 4) (p40-phox) (p40phox),Cytoplasm,colon macrophage;Hofbauer cell;hematopoietic cell;granulocyte;eosinophil;neutrophil;leukocyte;intermediate monocyte;basophil mast progenitor cell;myelocyte;myeloid lineage restricted progenitor cell;granulocytopoietic cell,,0.75,FALSE,no,0.782,1.275
NCR1,ENSG00000189430,3,3,Natural cytotoxicity triggering receptor 1 (Lymphocyte antigen 94 homolog) (NK cell-activating receptor) (Natural killer cell p46-related protein) (NK-p46) (NKp46) (hNKp46) (CD antigen CD335),Cell membrane,"lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human",,1,FALSE,no,0.024,0.019
NCR3,ENSG00000204475,3,3,Natural cytotoxicity triggering receptor 3 (Activating natural killer receptor p30) (Natural killer cell p30-related protein) (NK-p30) (NKp30) (CD antigen CD337),Cell membrane,"mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;mature NK T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;mature T cell;exhausted T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;ILC1, human;group 3 innate lymphoid cell",,0.95,FALSE,no,0.05,0.033
NCS1,ENSG00000107130,3,3,Neuronal calcium sensor 1 (NCS-1) (Frequenin homolog) (Frequenin-like protein) (Frequenin-like ubiquitous protein),Golgi apparatus,inflammatory macrophage,,1,FALSE,no,2.345,1.907
NEIL3,ENSG00000109674,3,3,Endonuclease 8-like 3,Nucleus,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte",,1,FALSE,no,0.093,0.054
NFKB1,ENSG00000109320,2,2,Nuclear factor NF-kappa-B p105 subunit (DNA-binding factor KBF1) (EBP-1) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1),Nucleus,"cortical thymic epithelial cell;elicited macrophage;inflammatory macrophage;alternatively activated macrophage;mast cell;mucosal type mast cell;group 3 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;myeloid cell;fibroblast of connective tissue of nonglandular part of prostate",,0.8,FALSE,no,4.659,4.48
NINJ1,ENSG00000131669,3,3,Ninjurin-1 (Nerve injury-induced protein 1),Secreted,"elicited macrophage;inflammatory macrophage;alternatively activated macrophage;colon macrophage;Hofbauer cell;hematopoietic cell;leukocyte;myeloid leukocyte;intermediate monocyte;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;myeloid cell",,0.909090909090909,FALSE,no,3.95,3.586
NLRP3,ENSG00000162711,3,3,"NACHT, LRR and PYD domains-containing protein 3",Cytoplasm,"phagocyte;elicited macrophage;alternatively activated macrophage;colon macrophage;mononuclear phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;leukocyte;myeloid leukocyte;monocyte;CD14-positive monocyte;intermediate monocyte;myeloid cell",,1,FALSE,no,0.247,0.519
NOLC1,ENSG00000166197,3,3,Nucleolar and coiled-body phosphoprotein 1 (140 kDa nucleolar phosphoprotein) (Nopp140) (Hepatitis C virus NS5A-transactivated protein 13) (HCV NS5A-transactivated protein 13) (Nucleolar 130 kDa protein) (Nucleolar phosphoprotein p130),Nucleus,"activated CD4-positive, alpha-beta T cell",,1,FALSE,no,13.422,12.068
NOP2,ENSG00000111641,3,3,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase,Nucleus,"activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell",,1,FALSE,no,3.299,3.066
NPM3,ENSG00000107833,3,3,Nucleoplasmin-3,Nucleus,"bone marrow cell;granulocyte monocyte progenitor cell;mast cell;mucosal type mast cell;activated CD4-positive, alpha-beta T cell;pro-T cell",,0.833333333333333,FALSE,no,10.173,8.638
NR4A3,ENSG00000119508,2,2,Nuclear receptor subfamily 4 group A member 3 (Mitogen-induced nuclear orphan receptor) (Neuron-derived orphan receptor 1) (Nuclear hormone receptor NOR-1),Nucleus,inflammatory macrophage;dendritic cell;liver dendritic cell;fibroblast of connective tissue of nonglandular part of prostate,,0.75,FALSE,no,2.019,0.455
NRROS,ENSG00000174004,3,3,Transforming growth factor beta activator LRRC33 (Leucine-rich repeat-containing protein 33) (Negative regulator of reactive oxygen species),Cell membrane,eosinophil;common myeloid progenitor,,1,FALSE,no,0.576,0.939
NUDT1,ENSG00000106268,3,3,Oxidized purine nucleoside triphosphate hydrolase,Mitochondrion matrix,bone marrow cell;granulocyte monocyte progenitor cell;mature alpha-beta T cell;mucosal invariant T cell;common dendritic progenitor;macrophage dendritic cell progenitor;pre-conventional dendritic cell;hematopoietic precursor cell;early T lineage precursor,,0.777777777777778,FALSE,no,1.819,1.562
NUP214,ENSG00000126883,3,3,Nuclear pore complex protein Nup214 (214 kDa nucleoporin) (Nucleoporin Nup214) (Protein CAN),Nucleus,promonocyte,,1,FALSE,no,2.171,2.283
NUSAP1,ENSG00000137804,3,3,Nucleolar and spindle-associated protein 1 (NuSAP),Cytoplasm,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell",,0.857142857142857,FALSE,no,0.434,0.38
OAS1,ENSG00000089127,3,3,2'-5'-oligoadenylate synthase 1 ((2-5')oligo(A) synthase 1) (2-5A synthase 1),Cytoplasm,goblet cell;respiratory goblet cell;tracheal goblet cell,,1,FALSE,no,0.53,0.713
OGG1,ENSG00000114026,3,3,N-glycosylase/DNA lyase,Nucleus,germinal center B cell,,1,FALSE,no,0.461,0.398
OLFM2,ENSG00000105088,3,3,Noelin-2 (Olfactomedin-2),Secreted,subcutaneous fat cell,,1,FALSE,no,0.919,0.618
OLR1,ENSG00000173391,2,2,Oxidized low-density lipoprotein receptor 1 (Ox-LDL receptor 1) (C-type lectin domain family 8 member A) (Lectin-like oxidized LDL receptor 1) (LOX-1) (Lectin-like oxLDL receptor 1) (hLOX-1) (Lectin-type oxidized LDL receptor 1),Cell membrane,phagocyte;macrophage;elicited macrophage;inflammatory macrophage;tissue-resident macrophage;alveolar macrophage;central nervous system macrophage;microglial cell;mature microglial cell;lung macrophage;placental villous trophoblast;syncytiotrophoblast cell;hematopoietic cell;granulocyte;basophil;professional antigen presenting cell;myelocyte;granulocytopoietic cell,,0.833333333333333,FALSE,no,0.469,0.76
ORAI2,ENSG00000160991,3,3,Protein orai-2 (CAP-binding protein complex-interacting protein 2) (Transmembrane protein 142B),Membrane,IgG memory B cell;IgG-negative class switched memory B cell,,1,FALSE,no,2.264,2.21
ORAI3,ENSG00000175938,3,3,Protein orai-3 (Transmembrane protein 142C),Cell membrane,eosinophil;basophil mast progenitor cell,,1,FALSE,no,3.963,4.824
OSM,ENSG00000099985,3,3,Oncostatin-M (OSM),Secreted,hematopoietic cell;blood cell;granulocyte;basophil;leukocyte;myeloid leukocyte;CD4-positive helper T cell;T-helper 17 cell;exhausted T cell;myeloid cell,OSM,0.8,FALSE,no,0.149,0.231
OXER1,ENSG00000162881,3,3,Oxoeicosanoid receptor 1 (5-oxo-ETE G-protein coupled receptor) (G-protein coupled receptor 170) (G-protein coupled receptor R527) (G-protein coupled receptor TG1019),Cell membrane,basophil,,1,FALSE,no,0.066,0.063
P2RY12,ENSG00000169313,2,2,P2Y purinoceptor 12 (P2Y12) (ADP-glucose receptor) (ADPG-R) (P2T(AC)) (P2Y(AC)) (P2Y(cyc)) (P2Y12 platelet ADP receptor) (P2Y(ADP)) (SP1999),Cell membrane,lens fiber cell;secondary lens fiber;phagocyte;macrophage;tissue-resident macrophage;central nervous system macrophage;microglial cell;mature microglial cell;professional antigen presenting cell,,0.777777777777778,FALSE,no,0.202,0.165
P2RY13,ENSG00000181631,3,3,P2Y purinoceptor 13 (P2Y13) (G-protein coupled receptor 86) (G-protein coupled receptor 94),Cell membrane,microglial cell;mononuclear phagocyte;blood cell;granulocyte;Langerhans cell,,0.8,FALSE,no,0.475,0.575
P2RY6,ENSG00000171631,3,3,P2Y purinoceptor 6 (P2Y6),Cell membrane,syncytiotrophoblast cell,,1,FALSE,no,0.805,0.45
P4HB,ENSG00000185624,4,2,Protein disulfide-isomerase (PDI),Endoplasmic reticulum,epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;pancreatic acinar cell;acinar cell;microfold cell of epithelium of small intestine;tracheobronchial serous cell;serous cell of epithelium of bronchus;lung secretory cell,GALECTIN,0,TRUE,no,79.5,71.201
PADI2,ENSG00000117115,3,3,Protein-arginine deiminase type-2,Cytoplasm,microglial cell,,1,FALSE,no,1.143,1.279
PAK1,ENSG00000149269,3,3,Serine/threonine-protein kinase PAK 1,Cytoplasm,Langerhans cell;promonocyte,,1,FALSE,no,7.519,7.94
PAK1IP1,ENSG00000111845,3,3,p21-activated protein kinase-interacting protein 1 (PAK/PLC-interacting protein 1) (hPIP1) (PAK1-interacting protein 1) (WD repeat-containing protein 84),Nucleus,"activated CD4-positive, alpha-beta T cell",,1,FALSE,no,5.139,3.903
PAK2,ENSG00000180370,3,3,Serine/threonine-protein kinase PAK 2,Nucleus,"CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;common dendritic progenitor",,1,FALSE,no,13.34,12.568
PARP1,ENSG00000143799,3,3,Poly [ADP-ribose] polymerase 1 (PARP-1),Chromosome,germinal center B cell;B cell;large pre-B-II cell;fraction A pre-pro B cell,,1,FALSE,no,17.235,18.289
PARP15,ENSG00000173200,3,3,Protein mono-ADP-ribosyltransferase PARP15,Nucleus,mature B cell;memory B cell;unswitched memory B cell;naive B cell;B-1b B cell;B cell;immature B cell;transitional stage B cell,,1,FALSE,no,0.216,0.322
PBXIP1,ENSG00000163346,3,3,Pre-B-cell leukemia transcription factor-interacting protein 1 (Hematopoietic PBX-interacting protein),Cytoplasm,"hematopoietic stem cell;CD34-positive, CD38-negative hematopoietic stem cell;brush cell;intestinal tuft cell;tuft cell of colon;T-helper 1 cell;memory regulatory T cell;regulatory T cell;late pro-B cell;group 2 innate lymphoid cell",,0.8,FALSE,no,6.081,6.095
PCNA,ENSG00000132646,4,3,Proliferating cell nuclear antigen (PCNA) (Cyclin),Nucleus,alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;primitive red blood cell;pre-conventional dendritic cell,,0.833333333333333,FALSE,no,8.72,8.294
PDE4A,ENSG00000065989,3,3,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",Cytoplasm,Langerhans cell,,1,FALSE,no,1.916,1.711
