gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,HALLMARK,REACTOME,KEGG,n_pathways
OTOF,,,no,True,ENSG00000115155,Otoferlin (Fer-1-like protein 2),Cytoplasmic vesicle,,,0.31,0.155,1439,374,-1.003,,Insertion Of Tail-Anchored Proteins Into Endoplasmic Reticulum Membrane R-HSA-9609523; Protein Localization R-HSA-9609507; Sensory Perception R-HSA-9709957; Sensory Processing Of Sound By Inner Hair Cells Of Cochlea R-HSA-9662360; Sensory Processing Of Sound R-HSA-9659379,,5
OTUB1,,,no,True,ENSG00000167770,Ubiquitin thioesterase OTUB1,Cytoplasm,,,3.213,2.102,14911,5080,-0.612,,Deubiquitination R-HSA-5688426; Metabolism Of Proteins R-HSA-392499; Ovarian Tumor Domain Proteases R-HSA-5689896; Post-translational Protein Modification R-HSA-597592; Ub-specific Processing Proteases R-HSA-5689880,,5
OVOL2,,,no,True,ENSG00000125850,Transcription factor Ovo-like 2 (hOvo2) (Zinc finger protein 339),Nucleus,,,0.291,0.168,1351,407,-0.79,Estrogen Response Early; Estrogen Response Late,,,2
OXER1,,,no,True,ENSG00000162881,Oxoeicosanoid receptor 1 (5-oxo-ETE G-protein coupled receptor) (G-protein coupled receptor 170) (G-protein coupled receptor R527) (G-protein coupled receptor TG1019),Cell membrane,basophil,,0.054,0.072,251,173,0.404,,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076; Eicosanoid Ligand-Binding Receptors R-HSA-391903; G Alpha (I) Signaling Events R-HSA-418594; GPCR Downstream Signaling R-HSA-388396; GPCR Ligand Binding R-HSA-500792; Signal Transduction R-HSA-162582; Signaling By GPCR R-HSA-372790,,7
OXSM,,,no,True,ENSG00000151093,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial",Mitochondrion,,,0.681,0.592,3159,1432,-0.2,,,Fatty acid biosynthesis,1
OXSR1,,,no,True,ENSG00000172939,Serine/threonine-protein kinase OSR1,Cytoplasm,,,2.919,2.507,13545,6060,-0.219,Reactive Oxygen Species Pathway,,,1
OXTR,,,no,True,ENSG00000180914,Oxytocin receptor (OT-R),Cell membrane,stem cell;basal cell;myoepithelial cell;myoepithelial cell of mammary gland,OXT,0.049,0.087,229,210,0.816,Epithelial Mesenchymal Transition,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076; G Alpha (Q) Signaling Events R-HSA-416476; GPCR Downstream Signaling R-HSA-388396; GPCR Ligand Binding R-HSA-500792; Peptide Ligand-Binding Receptors R-HSA-375276; Signal Transduction R-HSA-162582; Signaling By GPCR R-HSA-372790; Vasopressin-like Receptors R-HSA-388479,Calcium signaling pathway; Neuroactive ligand-receptor interaction; Oxytocin signaling pathway; cAMP signaling pathway,13
P2RX1,,,no,True,ENSG00000108405,P2X purinoceptor 1 (P2X1) (ATP receptor) (Purinergic receptor),Membrane,"eosinophil;mast cell;megakaryocyte-erythroid progenitor cell;erythroid progenitor cell, mammalian",,0.324,0.297,1503,717,-0.127,,Elevation Of Cytosolic Ca2+ Levels R-HSA-139853; Hemostasis R-HSA-109582; Immune System R-HSA-168256; Innate Immune System R-HSA-168249; Neutrophil Degranulation R-HSA-6798695; Platelet Calcium Homeostasis R-HSA-418360; Platelet Homeostasis R-HSA-418346,Calcium signaling pathway; Neuroactive ligand-receptor interaction; Platelet activation,10
P2RX3,,,no,True,ENSG00000109991,P2X purinoceptor 3 (P2X3) (ATP receptor) (Purinergic receptor),Cell membrane,,,0.031,0.072,146,174,1.194,,Elevation Of Cytosolic Ca2+ Levels R-HSA-139853; Hemostasis R-HSA-109582; Platelet Calcium Homeostasis R-HSA-418360; Platelet Homeostasis R-HSA-418346,Calcium signaling pathway; Neuroactive ligand-receptor interaction; Taste transduction,7
P2RX4,,,no,True,ENSG00000135124,P2X purinoceptor 4 (P2X4) (ATP receptor) (Purinergic receptor),Cell membrane,,,1.365,1.485,6334,3589,0.122,IL-2/STAT5 Signaling; Inflammatory Response,Cell Recruitment (Pro-Inflammatory Response) R-HSA-9664424; Disease R-HSA-1643685; Elevation Of Cytosolic Ca2+ Levels R-HSA-139853; Hemostasis R-HSA-109582; Infectious Disease R-HSA-5663205; Leishmania Infection R-HSA-9658195; Platelet Calcium Homeostasis R-HSA-418360; Platelet Homeostasis R-HSA-418346,Calcium signaling pathway; Neuroactive ligand-receptor interaction,12
P2RX7,,,no,True,ENSG00000089041,P2X purinoceptor 7 (P2X7) (ATP receptor) (P2Z receptor) (Purinergic receptor),Cell membrane,,,1.222,1.312,5670,3171,0.103,Inflammatory Response,"Cell Recruitment (Pro-Inflammatory Response) R-HSA-9664424; Disease R-HSA-1643685; Elevation Of Cytosolic Ca2+ Levels R-HSA-139853; Hemostasis R-HSA-109582; Immune System R-HSA-168256; Infectious Disease R-HSA-5663205; Inflammasomes R-HSA-622312; Innate Immune System R-HSA-168249; Leishmania Infection R-HSA-9658195; NLRP3 Inflammasome R-HSA-844456; Nucleotide-binding Domain, Leucine Rich Repeat Containing NLR Signaling Pathways R-HSA-168643; Platelet Calcium Homeostasis R-HSA-418360; Platelet Homeostasis R-HSA-418346",Calcium signaling pathway; NOD-like receptor signaling pathway; Neuroactive ligand-receptor interaction,17
P2RY14,,,no,True,ENSG00000174944,P2Y purinoceptor 14 (P2Y14) (G-protein coupled receptor 105) (UDP-glucose receptor),Cell membrane,lens fiber cell;secondary lens fiber;decidual cell;mature astrocyte,,0.106,0.142,493,344,0.422,Interferon Gamma Response,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076; G Alpha (I) Signaling Events R-HSA-418594; GPCR Downstream Signaling R-HSA-388396; GPCR Ligand Binding R-HSA-500792; Nucleotide-like (Purinergic) Receptors R-HSA-418038; P2Y Receptors R-HSA-417957; Signal Transduction R-HSA-162582; Signaling By GPCR R-HSA-372790,Neuroactive ligand-receptor interaction,10
P2RY2,,,no,True,ENSG00000175591,P2Y purinoceptor 2 (P2Y2) (ATP receptor) (P2U purinoceptor 1) (P2U1) (P2U receptor 1) (Purinergic receptor),Cell membrane,,,0.298,0.384,1385,929,0.365,Estrogen Response Early; Inflammatory Response,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076; G Alpha (Q) Signaling Events R-HSA-416476; GPCR Downstream Signaling R-HSA-388396; GPCR Ligand Binding R-HSA-500792; Metabolism Of Proteins R-HSA-392499; Nucleotide-like (Purinergic) Receptors R-HSA-418038; P2Y Receptors R-HSA-417957; Signal Transduction R-HSA-162582; Signaling By GPCR R-HSA-372790; Surfactant Metabolism R-HSA-5683826,Inflammatory mediator regulation of TRP channels; Neuroactive ligand-receptor interaction,14
P2RY6,,,no,True,ENSG00000171631,P2Y purinoceptor 6 (P2Y6),Cell membrane,syncytiotrophoblast cell,,0.404,0.335,1876,809,-0.272,,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076; G Alpha (Q) Signaling Events R-HSA-416476; GPCR Downstream Signaling R-HSA-388396; GPCR Ligand Binding R-HSA-500792; Nucleotide-like (Purinergic) Receptors R-HSA-418038; P2Y Receptors R-HSA-417957; Signal Transduction R-HSA-162582; Signaling By GPCR R-HSA-372790,Neuroactive ligand-receptor interaction,9
P4HA3,,,no,True,ENSG00000149380,Prolyl 4-hydroxylase subunit alpha-3 (4-PH alpha-3),Endoplasmic reticulum lumen,,,0.042,0.084,194,203,1.007,,Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814; Collagen Formation R-HSA-1474290; Extracellular Matrix Organization R-HSA-1474244,Arginine and proline metabolism,4
P4HB,,,no,True,ENSG00000185624,Protein disulfide-isomerase (PDI),Endoplasmic reticulum,epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;pancreatic acinar cell;acinar cell;microfold cell of epithelium of small intestine;tracheobronchial serous cell;serous cell of epithelium of bronchus;lung secretory cell,GALECTIN,18.644,12.114,86525,29279,-0.622,,"Cellular Response To Chemical Stress R-HSA-9711123; Cellular Responses To Stimuli R-HSA-8953897; Cellular Responses To Stress R-HSA-2262752; Chylomicron Assembly R-HSA-8963888; Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814; Collagen Formation R-HSA-1474290; Cytokine Signaling In Immune System R-HSA-1280215; Detoxification Of Reactive Oxygen Species R-HSA-3299685; Extracellular Matrix Organization R-HSA-1474244; Hedgehog Ligand Biogenesis R-HSA-5358346; Immune System R-HSA-168256; Interleukin-12 Family Signaling R-HSA-447115; Interleukin-12 Signaling R-HSA-9020591; Interleukin-23 Signaling R-HSA-9020933; LDL Remodeling R-HSA-8964041; Metabolism Of Proteins R-HSA-392499; Plasma Lipoprotein Assembly R-HSA-8963898; Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824; Plasma Lipoprotein Remodeling R-HSA-8963899; Post-translational Protein Modification R-HSA-597592; Post-translational Protein Phosphorylation R-HSA-8957275; Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426; Signal Transduction R-HSA-162582; Signaling By Hedgehog R-HSA-5358351; Signaling By Interleukins R-HSA-449147; Transport Of Small Molecules R-HSA-382551",Protein processing in endoplasmic reticulum,27
P4HTM,,,no,True,ENSG00000178467,Transmembrane prolyl 4-hydroxylase (P4H-TM),Endoplasmic reticulum membrane,pancreatic endocrine cell;pancreatic A cell;pancreatic epsilon cell;enteroendocrine cell;PP cell;endocrine cell,,1.943,1.542,9016,3727,-0.333,,,,0
PABPC1L,,,no,True,ENSG00000101104,Polyadenylate-binding protein 1-like,,,,7.266,7.705,33723,18623,0.085,,,RNA degradation; RNA transport; mRNA surveillance pathway,3
PACC1,,,no,True,ENSG00000065600,Proton-activated chloride channel (PAC) (hPAC) (Acid-sensitive outwardly-rectifying anion channel) (ASOR) (Proton-activated outwardly rectifying anion channel) (PAORAC) (Transmembrane protein 206) (hTMEM206),Cell membrane,,,0.86,0.762,3991,1842,-0.174,,,,0
PADI2,,,no,True,ENSG00000117115,Protein-arginine deiminase type-2,Cytoplasm,microglial cell,,1.215,1.422,5637,3437,0.227,,Chromatin Modifying Enzymes R-HSA-3247509; Immune System R-HSA-168256; Innate Immune System R-HSA-168249; Neutrophil Degranulation R-HSA-6798695,,4
PAK4,,,no,True,ENSG00000130669,Serine/threonine-protein kinase PAK 4,Cytoplasm,ovarian surface epithelial cell,,2.317,1.881,10752,4546,-0.301,PI3K/AKT/mTOR  Signaling,"Activation Of RAC1 R-HSA-428540; Axon Guidance R-HSA-422475; CDC42 GTPase Cycle R-HSA-9013148; Developmental Biology R-HSA-1266738; Nervous System Development R-HSA-9675108; RAC1 GTPase Cycle R-HSA-9013149; RAC2 GTPase Cycle R-HSA-9013404; RAC3 GTPase Cycle R-HSA-9013423; RHO GTPase Cycle R-HSA-9012999; RHOG GTPase Cycle R-HSA-9013408; RHOH GTPase Cycle R-HSA-9013407; RHOJ GTPase Cycle R-HSA-9013409; RHOQ GTPase Cycle R-HSA-9013406; RHOU GTPase Cycle R-HSA-9013420; RHOV GTPase Cycle R-HSA-9013424; Signal Transduction R-HSA-162582; Signaling By ROBO Receptors R-HSA-376176; Signaling By Rho GTPases R-HSA-194315; Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",Axon guidance; ErbB signaling pathway; Focal adhesion; Human immunodeficiency virus 1 infection; MicroRNAs in cancer; Ras signaling pathway; Regulation of actin cytoskeleton; Renal cell carcinoma; T cell receptor signaling pathway,29
PALB2,,,no,True,ENSG00000083093,Partner and localizer of BRCA2,Nucleus,,,0.415,0.392,1924,948,-0.08,,DNA Double-Strand Break Repair R-HSA-5693532; DNA Repair R-HSA-73894; Defective HDR Thru Homologous Recombination (HRR) Due To BRCA1 Loss-Of-Function R-HSA-9701192; Defective Homologous Recombination Repair (HRR) Due To BRCA2 Loss Of Function R-HSA-9701190; Disease R-HSA-1643685; Diseases Of DNA Repair R-HSA-9675135; HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567; HDR Thru Homologous Recombination (HRR) R-HSA-5685942; Homologous DNA Pairing And Strand Exchange R-HSA-5693579; Homology Directed Repair R-HSA-5693538; Impaired BRCA2 Binding To PALB2 R-HSA-9709603; Resolution Of D-Loop Structures R-HSA-5693537; Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568; Resolution Of D-loop Structures Thru Synthesis-Dependent Strand Annealing (SDSA) R-HSA-5693554,Fanconi anemia pathway; Homologous recombination,16
PAM,,,no,True,ENSG00000145730,Peptidyl-glycine alpha-amidating monooxygenase (PAM),Cytoplasmic vesicle,pancreatic PP cell;PP cell;regular atrial cardiac myocyte;cardiac muscle myoblast,,0.942,0.783,4372,1893,-0.266,Glycolysis; Hypoxia; Protein Secretion,,,3
PANK2,,,no,True,ENSG00000125779,"Pantothenate kinase 2, mitochondrial (hPanK2)",Cytoplasm,,,1.301,1.307,6039,3159,0.006,,Coenzyme A Biosynthesis R-HSA-196783; Metabolism Of Vitamins And Cofactors R-HSA-196854; Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849; Metabolism R-HSA-1430728; Vitamin B5 (Pantothenate) Metabolism R-HSA-199220,Pantothenate and CoA biosynthesis,6
PANX1,,,no,True,ENSG00000110218,Pannexin-1,Cell membrane,stem cell of epidermis,,0.62,0.49,2879,1185,-0.339,TNF-alpha Signaling via NF-kB,"Immune System R-HSA-168256; Inflammasomes R-HSA-622312; Innate Immune System R-HSA-168249; NLRP3 Inflammasome R-HSA-844456; Neuronal System R-HSA-112316; Nucleotide-binding Domain, Leucine Rich Repeat Containing NLR Signaling Pathways R-HSA-168643",NOD-like receptor signaling pathway,8
PANX2,,,no,True,ENSG00000073150,Pannexin-2,Cell membrane,,,0.236,0.387,1095,936,0.715,,Neuronal System R-HSA-112316,,1
PANX3,,,no,True,ENSG00000154143,Pannexin-3,Cell membrane,,,0.06,0.095,279,230,0.663,,,,0
PAPPA2,,,no,True,ENSG00000116183,Pappalysin-2,Secreted,non-pigmented ciliary epithelial cell;pancreatic A cell;enteroendocrine cell of colon;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney loop of Henle epithelial cell;trophoblast giant cell,,0.036,0.052,169,125,0.506,,Metabolism Of Proteins R-HSA-392499; Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426,,2
PAPSS1,,,no,True,ENSG00000138801,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 (PAPS synthase 1) (PAPSS 1) (Sulfurylase kinase 1) (SK 1) (SK1),,,,5.116,3.523,23743,8514,-0.538,,Biological Oxidations R-HSA-211859; Cytosolic Sulfonation Of Small Molecules R-HSA-156584; Disease R-HSA-1643685; Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202; Glycosaminoglycan Metabolism R-HSA-1630316; Metabolism Of Amino Acids And Derivatives R-HSA-71291; Metabolism Of Carbohydrates R-HSA-71387; Metabolism R-HSA-1430728; Oncogenic MAPK Signaling R-HSA-6802957; Phase II - Conjugation Of Compounds R-HSA-156580; Selenoamino Acid Metabolism R-HSA-2408522; Signaling By BRAF And RAF1 Fusions R-HSA-6802952; Transport And Synthesis Of PAPS R-HSA-174362,Purine metabolism; Selenocompound metabolism; Sulfur metabolism,16
PARD3,,,no,True,ENSG00000148498,Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha),Cytoplasm,papillary tips cell,PARs,1.202,0.969,5577,2341,-0.311,,Cell Junction Organization R-HSA-446728; Cell-Cell Communication R-HSA-1500931; Cell-cell Junction Organization R-HSA-421270; Signal Transduction R-HSA-162582; Signaling By TGF-beta Receptor Complex R-HSA-170834; Signaling By TGFB Family Members R-HSA-9006936; TGF-beta Receptor Signaling In EMT (Epithelial To Mesenchymal Transition) R-HSA-2173791; Tight Junction Interactions R-HSA-420029,Adherens junction; Axon guidance; Chemokine signaling pathway; Endocytosis; Hippo signaling pathway; Human papillomavirus infection; Neuroactive ligand-receptor interaction; Rap1 signaling pathway; Tight junction,17
PARP11,,,no,True,ENSG00000111224,Protein mono-ADP-ribosyltransferase PARP11,Nucleus,,,1.317,1.173,6110,2835,-0.167,,,,0
PARP3,,,no,True,ENSG00000041880,Protein mono-ADP-ribosyltransferase PARP3,Nucleus,,,0.911,0.705,4227,1705,-0.369,,,Apoptosis; Base excision repair,2
PART1,,,no,True,ENSG00000152931,,,acinar cell of salivary gland;luminal cell of prostate epithelium;tracheobronchial serous cell;serous cell of epithelium of bronchus,,0.247,0.296,1144,715,0.263,,,,0
PASD1,,,no,True,ENSG00000166049,Circadian clock protein PASD1 (Cancer/testis antigen 63) (CT63) (OX-TES-1) (PAS domain-containing protein 1),Nucleus,,,0.039,0.07,183,169,0.826,,,,0
PAWR,,,no,True,ENSG00000177425,PRKC apoptosis WT1 regulator protein (Prostate apoptosis response 4 protein) (Par-4),Cytoplasm;Nucleus,duct epithelial cell;luminal epithelial cell of mammary gland;myoepithelial cell;myoepithelial cell of mammary gland;mammary gland epithelial cell;kidney glomerular epithelial cell;parietal epithelial cell,,5.809,3.946,26960,9537,-0.558,,,,0
PAX2,,,no,True,ENSG00000075891,Paired box protein Pax-2,Nucleus,kidney collecting duct epithelial cell;kidney collecting duct principal cell;kidney collecting duct intercalated cell;renal principal cell;taste receptor cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney epithelial cell;parietal epithelial cell;kidney cortex tubule cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;kidney loop of Henle thin descending limb epithelial cell;neuron;kidney cell;kidney collecting duct cell,,0.169,0.141,785,341,-0.262,,,,0
PAX3,,,no,True,ENSG00000135903,Paired box protein Pax-3 (HuP2),Nucleus,melanocyte,,0.057,0.089,264,215,0.645,KRAS Signaling Dn,Chromatin Modifying Enzymes R-HSA-3247509; HATs Acetylate Histones R-HSA-3214847,Transcriptional misregulation in cancer,4
PAX7,,,no,True,ENSG00000009709,Paired box protein Pax-7 (HuP1),Nucleus,basal cell of epithelium of trachea;skeletal muscle satellite stem cell;skeletal muscle satellite cell,,0.047,0.096,219,233,1.031,,,Transcriptional misregulation in cancer,1
PAX8,,,no,True,ENSG00000125618,Paired box protein Pax-8,Nucleus,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney epithelial cell;parietal epithelial cell;kidney cortex tubule cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;kidney loop of Henle thin descending limb epithelial cell;kidney cell;papillary tips cell;kidney collecting duct cell,,0.136,0.253,629,612,0.902,,,Pathways in cancer; Thyroid cancer; Thyroid hormone synthesis; Transcriptional misregulation in cancer,4
PBDC1,,,no,True,ENSG00000102390,Protein PBDC1 (Polysaccharide biosynthesis domain-containing protein 1),,,,1.425,1.016,6615,2455,-0.489,,,,0
PBK,,,no,True,ENSG00000168078,Lymphokine-activated killer T-cell-originated protein kinase,,,,0.124,0.18,577,436,0.537,G2-M Checkpoint,,,1
PBLD,,,no,True,ENSG00000108187,Phenazine biosynthesis-like domain-containing protein,,intestinal crypt stem cell of small intestine;enterocyte;enterocyte of epithelium of small intestine;paneth cell of epithelium of small intestine;intestinal epithelial cell;epithelial cell of small intestine;transit amplifying cell of small intestine,,0.51,0.393,2366,951,-0.374,,,,0
PBX3,,,no,True,ENSG00000167081,Pre-B-cell leukemia transcription factor 3 (Homeobox protein PBX3),Nucleus,,,1.187,1.147,5508,2771,-0.05,,,Transcriptional misregulation in cancer,1
PC,,,no,True,ENSG00000173599,"Pyruvate carboxylase, mitochondrial",Mitochondrion matrix,,,0.461,0.322,2139,779,-0.516,Glycolysis; Myogenesis; Xenobiotic Metabolism; heme Metabolism,,Citrate cycle (TCA cycle); Pyruvate metabolism,6
PCA3,,,no,True,ENSG00000225937,,,lens fiber cell;secondary lens fiber;ciliary muscle cell,,0.101,0.181,468,438,0.846,,,,0
PCAT1,,,no,True,ENSG00000253438,,,ependymal cell;choroid plexus epithelial cell;kidney loop of Henle thin descending limb epithelial cell,,0.501,0.65,2325,1572,0.377,,,,0
PCBD2,,,no,True,ENSG00000132570,Pterin-4-alpha-carbinolamine dehydratase 2 (PHS 2),,,,0.92,0.889,4270,2148,-0.05,,,Folate biosynthesis,1
PCBP3,,,no,True,ENSG00000183570,Poly(rC)-binding protein 3 (Alpha-CP3) (PCBP3-overlapping transcript) (PCBP3-overlapping transcript 1),Cytoplasm,neuron;interneuron;bipolar neuron;retinal bipolar neuron;amacrine cell;retina horizontal cell;retinal ganglion cell;neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal cone cell;retinal rod cell;visceromotor neuron;glycinergic neuron,,0.228,0.215,1056,519,-0.084,,,,0
PCCB,,,no,True,ENSG00000114054,"Propionyl-CoA carboxylase beta chain, mitochondrial (PCCase subunit beta)",Mitochondrion matrix,,,1.658,1.444,7694,3489,-0.2,,Biotin Transport And Metabolism R-HSA-196780; Defective HLCS Causes Multiple Carboxylase Deficiency R-HSA-3371599; Defects In Biotin (Btn) Metabolism R-HSA-3323169; Defects In Vitamin And Cofactor Metabolism R-HSA-3296482; Disease R-HSA-1643685; Diseases Of Metabolism R-HSA-5668914; Fatty Acid Metabolism R-HSA-8978868; Metabolism Of Lipids R-HSA-556833; Metabolism Of Vitamins And Cofactors R-HSA-196854; Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849; Metabolism R-HSA-1430728; Mitochondrial Fatty Acid Beta-Oxidation R-HSA-77289,"Glyoxylate and dicarboxylate metabolism; Propanoate metabolism; Valine, leucine and isoleucine degradation",15
PCDH10,,,no,True,ENSG00000138650,Protocadherin-10,Cell membrane,,,0.078,0.043,363,103,-0.876,,,,0
PCDH11Y,,,no,True,ENSG00000099715,Protocadherin-11 Y-linked (Protocadherin-11) (Protocadherin on the Y chromosome) (PCDH-Y) (Protocadherin prostate cancer) (Protocadherin-PC) (Protocadherin-22),Cell membrane,medium spiny neuron;glutamatergic neuron,,0.028,0.043,128,103,0.628,,,,0
PCDH20,,,no,True,ENSG00000280165,Protocadherin-20 (Protocadherin-13),Cell membrane,,,0.139,0.173,644,418,0.318,,,,0
PCDH8,,,no,True,ENSG00000136099,Protocadherin-8 (Arcadlin),Cell membrane,,,0.091,0.139,422,336,0.612,,,,0
PCDHA1,,,no,True,ENSG00000204970,Protocadherin alpha-1 (PCDH-alpha-1),Secreted,,PCDH,0.049,0.068,226,165,0.487,,,,0
PCDHA2,,,no,True,ENSG00000204969,Protocadherin alpha-2 (PCDH-alpha-2),Cell membrane,,PCDH,0.031,0.042,143,102,0.454,,,,0
PCDHA4,,,no,True,ENSG00000204967,Protocadherin alpha-4 (PCDH-alpha-4),Cell membrane,,PCDH,0.05,0.087,233,211,0.798,,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076; G Alpha (I) Signaling Events R-HSA-418594; GPCR Downstream Signaling R-HSA-388396; GPCR Ligand Binding R-HSA-500792; Signal Transduction R-HSA-162582; Signaling By GPCR R-HSA-372790,,6
PCDHA9,,,no,True,ENSG00000204961,Protocadherin alpha-9 (PCDH-alpha-9),Cell membrane,,PCDH,0.026,,121,0,,,,,0
PCDHB14,,,no,True,ENSG00000120327,Protocadherin beta-14 (PCDH-beta-14),Cell membrane,,PCDH,0.156,0.191,726,461,0.286,,,,0
PCGEM1,,,no,True,ENSG00000227418,,,,,0.076,0.131,352,317,0.79,,,,0
PCID2,,,no,True,ENSG00000126226,PCI domain-containing protein 2 (CSN12-like protein),Cytoplasm,,,3.659,3.285,16979,7940,-0.155,,,,0
PCNX3,,,no,True,ENSG00000197136,Pecanex-like protein 3 (Pecanex homolog protein 3),Membrane,,,4.837,3.077,22447,7437,-0.652,,,,0
PCSK9,,,no,True,ENSG00000169174,Proprotein convertase subtilisin/kexin type 9,Cytoplasm;Secreted;Endosome;Lysosome;Cell surface;Endoplasmic reticulum;Golgi apparatus,,,0.029,,135,0,,Apical Surface; Complement,"LDL Clearance R-HSA-8964038; Metabolism Of Proteins R-HSA-392499; Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824; Plasma Lipoprotein Clearance R-HSA-8964043; Post-translational Protein Modification R-HSA-597592; Post-translational Protein Phosphorylation R-HSA-8957275; Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426; Transport Of Small Molecules R-HSA-382551; VLDLR Internalisation And Degradation R-HSA-8866427",Cholesterol metabolism,12
PDCD10,,,no,True,ENSG00000114209,Programmed cell death protein 10 (Cerebral cavernous malformations 3 protein) (TF-1 cell apoptosis-related protein 15),Cytoplasm;Golgi apparatus membrane,,,0.549,0.672,2546,1624,0.293,,,,0
PDCD1LG2,,,no,True,ENSG00000197646,Programmed cell death 1 ligand 2 (PD-1 ligand 2) (PD-L2) (PDCD1 ligand 2) (Programmed death ligand 2) (Butyrophilin B7-DC) (B7-DC) (CD antigen CD273),Cell membrane,,PDL2,0.563,0.501,2613,1211,-0.168,KRAS Signaling Up,Adaptive Immune System R-HSA-1280218; Costimulation By CD28 Family R-HSA-388841; Immune System R-HSA-168256; PD-1 Signaling R-HSA-389948,Cell adhesion molecules,6
PDCD6,,,no,True,ENSG00000249915,Programmed cell death protein 6 (Apoptosis-linked gene 2 protein homolog) (ALG-2),Endoplasmic reticulum membrane,fallopian tube secretory epithelial cell,,4.064,3.379,18860,8167,-0.266,,,,0
PDCD6IP,,,no,True,ENSG00000170248,Programmed cell death 6-interacting protein (PDCD6-interacting protein) (ALG-2-interacting protein 1) (ALG-2-interacting protein X) (Hp95),Cytoplasm,,,3.003,2.843,13935,6872,-0.079,,Budding And Maturation Of HIV Virion R-HSA-162588; Disease R-HSA-1643685; HIV Infection R-HSA-162906; HIV Life Cycle R-HSA-162587; Infectious Disease R-HSA-5663205; Late Phase Of HIV Life Cycle R-HSA-162599; Programmed Cell Death R-HSA-5357801; RIPK1-mediated Regulated Necrosis R-HSA-5213460; Regulated Necrosis R-HSA-5218859; Regulation Of Necroptotic Cell Death R-HSA-5675482; Uptake And Actions Of Bacterial Toxins R-HSA-5339562; Uptake And Function Of Anthrax Toxins R-HSA-5210891,Endocytosis,13
PDE10A,,,no,True,ENSG00000112541,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",Cytoplasm,pigmented ciliary epithelial cell;cortical cell of adrenal gland;cerebellar granule cell,,0.297,0.256,1379,618,-0.217,,G Alpha (S) Signaling Events R-HSA-418555; GPCR Downstream Signaling R-HSA-388396; Hemostasis R-HSA-109582; Nitric Oxide Stimulates Guanylate Cyclase R-HSA-392154; Platelet Homeostasis R-HSA-418346; Signal Transduction R-HSA-162582; Signaling By GPCR R-HSA-372790; cGMP Effects R-HSA-418457,Morphine addiction; Purine metabolism; cAMP signaling pathway,11
PDE2A,,,no,True,ENSG00000186642,"cGMP-dependent 3',5'-cyclic phosphodiesterase",Mitochondrion,,,1.314,0.94,6097,2273,-0.482,,G Alpha (S) Signaling Events R-HSA-418555; GPCR Downstream Signaling R-HSA-388396; Hemostasis R-HSA-109582; Nitric Oxide Stimulates Guanylate Cyclase R-HSA-392154; Platelet Homeostasis R-HSA-418346; Signal Transduction R-HSA-162582; Signaling By GPCR R-HSA-372790; cGMP Effects R-HSA-418457,Aldosterone synthesis and secretion; Morphine addiction; Olfactory transduction; Purine metabolism; cGMP-PKG signaling pathway,13
